"compliance-level-2/0001-input-data-string","0001-input-data-string-test-01","Greeting Message","SUCCESS",""
"compliance-level-2/0100-feel-constants","0100-feel-constants-test-01","Decision2","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","Decision1","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","Decision2","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","Decision4","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","Decision5","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","Decision7","SUCCESS",""
"compliance-level-2/0101-feel-constants","0101-feel-constants-test-01","Decision8","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","Decision1","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","Decision2","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","Decision3","SUCCESS",""
"compliance-level-2/0102-feel-constants","0102-feel-constants-test-01","Decision4","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision1","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision2","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision3","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision4","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision5","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision6","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision7","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision8","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision9","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision10","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision11","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision12","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision13","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision14","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision15","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision16","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision17","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision18","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision19","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision20","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision21","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision22","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision23","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision24","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision25","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision26","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision27","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision28","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision29","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision30","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision31","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision32","SUCCESS",""
"compliance-level-2/0105-feel-math","0105-feel-math-test-01","Decision33","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionAnd","SUCCESS",""
"compliance-level-2/0106-feel-ternary-logic","0106-feel-ternary-logic-test-01","DecisionOr","SUCCESS",""
"compliance-level-2/0107-feel-ternary-logic-not","0107-feel-ternary-logic-not-test-01","DecisionNot","SUCCESS",""
"compliance-level-2/0107-feel-ternary-logic-not","0107-feel-ternary-logic-not-test-01","DecisionNot","SUCCESS",""
"compliance-level-2/0107-feel-ternary-logic-not","0107-feel-ternary-logic-not-test-01","DecisionNot","SUCCESS",""
"compliance-level-2/0108-first-hitpolicy","0108-first-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0108-first-hitpolicy","0108-first-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0108-first-hitpolicy","0108-first-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0109-ruleOrder-hitpolicy","0109-ruleOrder-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0109-ruleOrder-hitpolicy","0109-ruleOrder-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0109-ruleOrder-hitpolicy","0109-ruleOrder-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0110-outputOrder-hitpolicy","0110-outputOrder-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0110-outputOrder-hitpolicy","0110-outputOrder-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0110-outputOrder-hitpolicy","0110-outputOrder-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0111-first-hitpolicy-singleoutputcol","0111-first-hitpolicy-singleoutputcol-test-01","Advertisement","SUCCESS",""
"compliance-level-2/0111-first-hitpolicy-singleoutputcol","0111-first-hitpolicy-singleoutputcol-test-01","Advertisement","SUCCESS",""
"compliance-level-2/0111-first-hitpolicy-singleoutputcol","0111-first-hitpolicy-singleoutputcol-test-01","Advertisement","SUCCESS",""
"compliance-level-2/0112-ruleOrder-hitpolicy-singleinoutcol","0112-ruleOrder-hitpolicy-singleinoutcol-test-01","Approval","SUCCESS",""
"compliance-level-2/0112-ruleOrder-hitpolicy-singleinoutcol","0112-ruleOrder-hitpolicy-singleinoutcol-test-01","Approval","SUCCESS",""
"compliance-level-2/0112-ruleOrder-hitpolicy-singleinoutcol","0112-ruleOrder-hitpolicy-singleinoutcol-test-01","Approval","SUCCESS",""
"compliance-level-2/0113-outputOrder-hitpolicy-singleinoutcol","0113-outputOrder-hitpolicy-singleinoutcol-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0113-outputOrder-hitpolicy-singleinoutcol","0113-outputOrder-hitpolicy-singleinoutcol-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0113-outputOrder-hitpolicy-singleinoutcol","0113-outputOrder-hitpolicy-singleinoutcol-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0114-min-collect-hitpolicy","0114-min-collect-hitpolicy-test-01","CarInsurance","SUCCESS",""
"compliance-level-2/0114-min-collect-hitpolicy","0114-min-collect-hitpolicy-test-01","CarInsurance","SUCCESS",""
"compliance-level-2/0114-min-collect-hitpolicy","0114-min-collect-hitpolicy-test-01","CarInsurance","SUCCESS",""
"compliance-level-2/0115-sum-collect-hitpolicy","0115-sum-collect-hitpolicy-test-01","Salary","SUCCESS",""
"compliance-level-2/0115-sum-collect-hitpolicy","0115-sum-collect-hitpolicy-test-01","Salary","SUCCESS",""
"compliance-level-2/0115-sum-collect-hitpolicy","0115-sum-collect-hitpolicy-test-01","Salary","SUCCESS",""
"compliance-level-2/0116-count-collect-hitpolicy","0116-count-collect-hitpolicy-test-01","Salary","SUCCESS",""
"compliance-level-2/0116-count-collect-hitpolicy","0116-count-collect-hitpolicy-test-01","Salary","SUCCESS",""
"compliance-level-2/0116-count-collect-hitpolicy","0116-count-collect-hitpolicy-test-01","Salary","SUCCESS",""
"compliance-level-2/0117-multi-any-hitpolicy","0117-multi-any-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0117-multi-any-hitpolicy","0117-multi-any-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0117-multi-any-hitpolicy","0117-multi-any-hitpolicy-test-01","Approval","SUCCESS",""
"compliance-level-2/0118-multi-priority-hitpolicy","0118-multi-priority-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0118-multi-priority-hitpolicy","0118-multi-priority-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0118-multi-priority-hitpolicy","0118-multi-priority-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0119-multi-collect-hitpolicy","0119-multi-collect-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0119-multi-collect-hitpolicy","0119-multi-collect-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-2/0119-multi-collect-hitpolicy","0119-multi-collect-hitpolicy-test-01","Approval Status","SUCCESS",""
"compliance-level-3/0001-filter","0001-filter-test-01","filter01","ERROR","FAILURE: 'filter01' expected='['Adams','Ford']' but found='null'"
"compliance-level-3/0002-string-functions","0002-string-functions-test-01","Basic","ERROR","FAILURE: 'Basic' expected='{'containsB':true,'containsX':false,'endsWithB':true,'endsWithX':false,'lowercase':'a','startsWithB':false,'startsWithX':false,'stringlength':6.0,'substringAfterB':'nana','substringBeforeB':'b','substringC1':'a','uppercase':'BANANA'}' but missing output"
"compliance-level-3/0002-string-functions","0002-string-functions-test-01","Matches","ERROR","FAILURE: 'Matches' expected='true' but found='false'"
"compliance-level-3/0002-string-functions","0002-string-functions-test-01","Replace","ERROR","FAILURE: 'Replace' expected='{'AanplusStarstar':'b**a','Aao':'bonono','encloseVowels':'b[a]n[a]n[a]'}' but missing output"
"compliance-level-3/0002-string-functions","0002-string-functions-test-01","Constructor","ERROR","FAILURE: 'Constructor' expected=''2'' but found='null'"
"compliance-level-3/0003-iteration","0003-iteration-test-01","MonthlyPayment","ERROR","FAILURE: 'MonthlyPayment' expected='[966.396742204988,376.509070632494]' but found='null'"
"compliance-level-3/0004-lending","0004-lending-test-01","Adjudication","SUCCESS",""
"compliance-level-3/0004-lending","0004-lending-test-01","ApplicationRiskScore","ERROR","FAILURE: 'ApplicationRiskScore' expected='130.0' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","Pre-bureauRiskCategory","ERROR","FAILURE: 'Pre-bureauRiskCategory' expected=''LOW'' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","BureauCallType","ERROR","FAILURE: 'BureauCallType' expected=''MINI'' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","Post-bureauRiskCategory","ERROR","FAILURE: 'Post-bureauRiskCategory' expected=''LOW'' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","RequiredMonthlyInstallment","ERROR","FAILURE: 'RequiredMonthlyInstallment' expected='1680.880325608555' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","Pre-bureauAffordability","ERROR","FAILURE: 'Pre-bureauAffordability' expected='true' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","Eligibility","ERROR","FAILURE: 'Eligibility' expected=''ELIGIBLE'' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","Strategy","ERROR","FAILURE: 'Strategy' expected=''BUREAU'' but found='{}'"
"compliance-level-3/0004-lending","0004-lending-test-01","Post-bureauAffordability","ERROR","FAILURE: 'Post-bureauAffordability' expected='true' but missing output"
"compliance-level-3/0004-lending","0004-lending-test-01","Routing","ERROR","FAILURE: 'Routing' expected=''ACCEPT'' but missing output"
"compliance-level-3/0005-literal-invocation","0005-literal-invocation-test-01","MonthlyPayment","SUCCESS",""
"compliance-level-3/0005-literal-invocation","0005-literal-invocation-test-01","MonthlyPayment","SUCCESS",""
"compliance-level-3/0005-literal-invocation","0005-literal-invocation-test-01","MonthlyPayment","SUCCESS",""
"compliance-level-3/0006-join","0006-join-test-01","Join","ERROR","FAILURE: 'Join' expected=''Smith'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","Date-Time","ERROR","FAILURE: 'Date-Time' expected=''2016-12-24T23:59:00-08:00'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","Date","ERROR","FAILURE: 'Date' expected='{'fromDateTime':'2016-12-24','fromString':'2015-12-24','fromYearMonthDay':'1999-11-22'}' but missing output"
"compliance-level-3/0007-date-time","0007-date-time-test-01","Time","ERROR","FAILURE: 'Time' expected=''00:00:01-01:00'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","Date-Time2","ERROR","FAILURE: 'Date-Time2' expected=''2015-12-24T00:00:01-01:00'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","Time2","ERROR","FAILURE: 'Time2' expected=''00:00:01-01:00'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","Time3","ERROR","FAILURE: 'Time3' expected=''12:59:01.3-01:00'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","dtDuration1","ERROR","FAILURE: 'dtDuration1' expected=''P13DT2H14S'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","dtDuration2","ERROR","FAILURE: 'dtDuration2' expected=''P367DT6H58M59S'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","sumDurations","ERROR","FAILURE: 'sumDurations' expected=''P380DT8H59M13S'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","ymDuration2","ERROR","FAILURE: 'ymDuration2' expected=''P1Y0M'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","cDay","ERROR","FAILURE: 'cDay' expected='24.0' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","cYear","ERROR","FAILURE: 'cYear' expected='2015.0' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","cMonth","ERROR","FAILURE: 'cMonth' expected='12.0' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","cHour","ERROR","FAILURE: 'cHour' expected='0.0' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","cMinute","ERROR","FAILURE: 'cMinute' expected='0.0' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","cSecond","ERROR","FAILURE: 'cSecond' expected='1.0' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","cOffset","ERROR","FAILURE: 'cOffset' expected=''-PT1H'' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","years","ERROR","FAILURE: 'years' expected='1.0' but found='null'"
"compliance-level-3/0007-date-time","0007-date-time-test-01","seconds","ERROR","FAILURE: 'seconds' expected='14.0' but found='null'"
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen1","SUCCESS",""
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen2","SUCCESS",""
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen3","SUCCESS",""
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen4","SUCCESS",""
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen5","SUCCESS",""
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen6","ERROR","FAILURE: 'listGen6' expected='['w','x','y','z']' but found='null'"
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen7","ERROR","FAILURE: 'listGen7' expected='['w','x','y','z']' but found='null'"
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen8","ERROR","FAILURE: 'listGen8' expected='['a','b','w','x','y','z']' but found='null'"
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen9","ERROR","FAILURE: 'listGen9' expected='['a','b','w','x','y','z']' but found='null'"
"compliance-level-3/0008-listGen","0008-listGen-test-01","listGen10","ERROR","FAILURE: 'listGen10' expected='['a','b','c','w','x','y','z']' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","literalSimpleList","SUCCESS",""
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","literalNestedList","ERROR","FAILURE: 'literalNestedList' expected='[]' but found='[['w','x'],['y'],['z']]'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","append1","ERROR","FAILURE: 'append1' expected='[]' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","append2","ERROR","FAILURE: 'append2' expected='[]' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","append3","ERROR","FAILURE: 'append3' expected='[]' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","append4","ERROR","FAILURE: 'append4' expected='[]' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","flatten1","ERROR","FAILURE: 'flatten1' expected='['w','x','y','z','t']' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","flatten2","ERROR","FAILURE: 'flatten2' expected='['w','x','y','z','a','b','c']' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","flatten3","ERROR","FAILURE: 'flatten3' expected='['w','x','y','z','a','b','c']' but found='null'"
"compliance-level-3/0009-append-flatten","0009-append-flatten-test-01","flatten4","ERROR","FAILURE: 'flatten4' expected='['w','x','y','z','a','b','c']' but found='null'"
"compliance-level-3/0010-concatenate","0010-concatenate-test-01","literalSimpleList","SUCCESS",""
"compliance-level-3/0010-concatenate","0010-concatenate-test-01","literalNestedList","ERROR","FAILURE: 'literalNestedList' expected='[]' but found='[['w','x'],['y'],['z']]'"
"compliance-level-3/0010-concatenate","0010-concatenate-test-01","concatenate1","ERROR","FAILURE: 'concatenate1' expected='['a','b','c','a','b','c']' but found='null'"
"compliance-level-3/0010-concatenate","0010-concatenate-test-01","concatenate2","ERROR","FAILURE: 'concatenate2' expected='['a','b','c','w','x','y','z']' but found='null'"
"compliance-level-3/0010-concatenate","0010-concatenate-test-01","concatenate3","ERROR","FAILURE: 'concatenate3' expected='['a','b','c','w','x','y','z']' but found='null'"
"compliance-level-3/0010-concatenate","0010-concatenate-test-01","concatenate4","ERROR","FAILURE: 'concatenate4' expected='[]' but found='null'"
"compliance-level-3/0011-insert-remove","0011-insert-remove-test-01","literalNestedList","ERROR","FAILURE: 'literalNestedList' expected='[]' but found='[['a','b'],['b','c']]'"
"compliance-level-3/0011-insert-remove","0011-insert-remove-test-01","remove1","ERROR","FAILURE: 'remove1' expected='['a','c']' but found='null'"
"compliance-level-3/0011-insert-remove","0011-insert-remove-test-01","insert3","ERROR","FAILURE: 'insert3' expected='[]' but found='null'"
"compliance-level-3/0011-insert-remove","0011-insert-remove-test-01","insert2","ERROR","FAILURE: 'insert2' expected='[]' but found='null'"
"compliance-level-3/0011-insert-remove","0011-insert-remove-test-01","remove2","ERROR","FAILURE: 'remove2' expected='[]' but found='null'"
"compliance-level-3/0011-insert-remove","0011-insert-remove-test-01","insert1","ERROR","FAILURE: 'insert1' expected='['a','x','b','c']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","listContainsList","ERROR","FAILURE: 'listContainsList' expected='false' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","listContains","ERROR","FAILURE: 'listContains' expected='false' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","count1","ERROR","FAILURE: 'count1' expected='3.0' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","min1","ERROR","FAILURE: 'min1' expected='-3.0' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","sum1","ERROR","FAILURE: 'sum1' expected='17.0' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","mean1","ERROR","FAILURE: 'mean1' expected='5.66666666666667' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","mean2","ERROR","FAILURE: 'mean2' expected='7.66666666666667' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","sublist12","ERROR","FAILURE: 'sublist12' expected='['a','b']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","sublistLast","ERROR","FAILURE: 'sublistLast' expected='['c']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","append1","ERROR","FAILURE: 'append1' expected='[6.0,14.0,-3.0,11.0,2.0]' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","concatenate1","ERROR","FAILURE: 'concatenate1' expected='['a','b','c','x','y','z']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","insertBefore1","ERROR","FAILURE: 'insertBefore1' expected='['x','OK','y','z']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","remove2nd","ERROR","FAILURE: 'remove2nd' expected='['x','z']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","reverse1","ERROR","FAILURE: 'reverse1' expected='['z','y','x','c','b','a']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","appendListItem","ERROR","FAILURE: 'appendListItem' expected='['a','b','c','x']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","indexOf1","ERROR","FAILURE: 'indexOf1' expected='[]' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","union1","ERROR","FAILURE: 'union1' expected='['x','OK','y','z','a','b','c']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","distinctVals","ERROR","FAILURE: 'distinctVals' expected='['x','OK','y','z']' but found='null'"
"compliance-level-3/0012-list-functions","0012-list-functions-test-01","flatten1","ERROR","FAILURE: 'flatten1' expected='['a','b','c','x','y','z']' but found='null'"
"compliance-level-3/0013-sort","0013-sort-test-01","sort1","ERROR","FAILURE: 'sort1' expected='[5.0,4.0,3.0,1.0]' but found='null'"
"compliance-level-3/0013-sort","0013-sort-test-01","sort2","ERROR","FAILURE: 'sort2' expected='[{'col1':1.0,'col2':0.0,'col3':1.0,'col4':1.0},{'col1':16.0,'col2':4.0,'col3':25.0,'col4':1.0},{'col1':16.0,'col2':43.0,'col3':2.0,'col4':10.0}]' but found='null'"
"compliance-level-3/0013-sort","0013-sort-test-01","sort3","ERROR","FAILURE: 'sort3' expected='['10','8','9','A','Aa','a']' but found='null'"
"compliance-level-3/0014-loan-comparison","0014-loan-comparison-test-01","Bankrates","ERROR","FAILURE: 'Bankrates' expected='[{'fee':0.0,'lenderName':'Oceans Capital','points':0.0,'rate':0.035},{'fee':2700.0,'lenderName':'eClick Lending','points':1.1,'rate':0.032},{'fee':1200.0,'lenderName':'eClickLending','points':0.1,'rate':0.03375},{'fee':3966.0,'lenderName':'AimLoan','points':1.1,'rate':0.03},{'fee':285.0,'lenderName':'Home Loans Today','points':1.1,'rate':0.03125},{'fee':4028.0,'lenderName':'Sebonic','points':0.1,'rate':0.03125},{'fee':4317.0,'lenderName':'AimLoan','points':0.1,'rate':0.03125},{'fee':2518.0,'lenderName':'eRates Mortgage','points':1.1,'rate':0.03125},{'fee':822.0,'lenderName':'Home Loans Today','points':0.1,'rate':0.0325},{'fee':1995.0,'lenderName':'AimLoan','points':0.0,'rate':0.0325}]' but missing output"
"compliance-level-3/0014-loan-comparison","0014-loan-comparison-test-01","RankedProducts","ERROR","FAILURE: 'RankedProducts' expected='{}' but missing output"
"compliance-level-3/0016-some-every","0016-some-every-test-01","priceTable1","ERROR","FAILURE: 'priceTable1' expected='[{'itemName':'widget','price':25.0},{'itemName':'sprocket','price':15.0},{'itemName':'trinket','price':1.5}]' but missing output"
"compliance-level-3/0016-some-every","0016-some-every-test-01","everyGtTen1","ERROR","FAILURE: 'everyGtTen1' expected='false' but found='null'"
